Iteration,RMSE,Time,method
4800,0.105726,3303,fsgd
6100,0.105615,3308,fsgd
6500,0.105657,3304,fsgd
4000,0.105533,3309,fsgd
4300,0.105608,3306,fsgd
4800,0.104918,3341,fsgd
6200,0.104863,3348,fsgd
6400,0.104841,3345,fsgd
4900,0.104892,3339,fsgd
6600,0.104839,3348,fsgd
4900,0.104813,3346,fsgd
4800,0.104816,3342,fsgd
6800,0.104199,3385,fsgd
6700,0.104131,3394,fsgd
6500,0.104159,3389,fsgd
6300,0.1042,3384,fsgd
4100,0.104157,3389,fsgd
4900,0.104141,3391,fsgd
5000,0.104114,3392,fsgd
6600,0.10349,3429,fsgd
6400,0.103407,3431,fsgd
4900,0.103442,3428,fsgd
6900,0.103296,3437,fsgd
5000,0.103294,3436,fsgd
4200,0.103246,3434,fsgd
4400,0.103204,3439,fsgd
5000,0.10319,3444,fsgd
6700,0.10277,3480,fsgd
6800,0.102761,3480,fsgd
6500,0.102654,3484,fsgd
5100,0.102637,3488,fsgd
4300,0.10265,3487,fsgd
7000,0.102592,3490,fsgd
5100,0.102696,3483,fsgd
4500,0.102623,3489,fsgd
6900,0.102018,3532,fsgd
7100,0.101996,3536,fsgd
5200,0.102007,3533,fsgd
6600,0.101877,3544,fsgd
4400,0.101976,3535,fsgd
5200,0.10192,3537,fsgd
4600,0.101848,3539,fsgd
5100,0.101688,3541,fsgd
5000,0.101669,3543,fsgd
7200,0.101119,3593,fsgd
5300,0.101162,3590,fsgd
6800,0.101063,3598,fsgd
6700,0.101062,3597,fsgd
7000,0.101033,3598,fsgd
4500,0.101015,3589,fsgd
6800,0.100241,3637,fsgd
7100,0.100226,3638,fsgd
5200,0.100323,3630,fsgd
5400,0.100243,3635,fsgd
6900,0.100242,3636,fsgd
7300,0.100219,3635,fsgd
4600,0.0996219,3667,fsgd
7200,0.0995555,3676,fsgd
6900,0.0995555,3675,fsgd
4700,0.0995663,3671,fsgd
5100,0.0995331,3672,fsgd
5300,0.0995554,3676,fsgd
7300,0.0989129,3715,fsgd
7000,0.0989033,3717,fsgd
7400,0.0989255,3713,fsgd
7000,0.0989524,3712,fsgd
5300,0.0988684,3717,fsgd
4700,0.0988521,3715,fsgd
7400,0.0983591,3750,fsgd
7100,0.098332,3752,fsgd
5200,0.0982984,3752,fsgd
7100,0.0982271,3756,fsgd
5400,0.0982682,3751,fsgd
7500,0.0981976,3754,fsgd
5500,0.0982458,3753,fsgd
7500,0.0976796,3794,fsgd
7200,0.0976529,3795,fsgd
4800,0.0974917,3798,fsgd
5300,0.0975571,3792,fsgd
5500,0.097488,3802,fsgd
7600,0.0974391,3804,fsgd
5400,0.0975109,3798,fsgd
7200,0.0974706,3800,fsgd
7300,0.0969216,3839,fsgd
4800,0.0968498,3845,fsgd
4900,0.0967985,3844,fsgd
5600,0.0968457,3844,fsgd
5400,0.0967668,3845,fsgd
7600,0.0963505,3868,fsgd
7400,0.0962265,3878,fsgd
5600,0.0961958,3873,fsgd
5500,0.0961675,3878,fsgd
7700,0.0961602,3875,fsgd
7500,0.0956174,3913,fsgd
7700,0.0956,3915,fsgd
7300,0.0956783,3908,fsgd
4900,0.0956868,3908,fsgd
5700,0.0955869,3913,fsgd
5000,0.0955917,3913,fsgd
7600,0.0951368,3947,fsgd
7800,0.0950944,3950,fsgd
5700,0.0950474,3952,fsgd
7400,0.0950432,3953,fsgd
7800,0.0949899,3959,fsgd
5600,0.0950101,3957,fsgd
5000,0.0950069,3953,fsgd
5800,0.0949158,3962,fsgd
7900,0.0945552,3999,fsgd
7700,0.0944402,4007,fsgd
7500,0.0944702,4002,fsgd
7900,0.0944478,4006,fsgd
5700,0.0944106,4009,fsgd
5500,0.0943873,4012,fsgd
5100,0.0943828,4012,fsgd
5900,0.0938975,4057,fsgd
5800,0.0938655,4060,fsgd
5100,0.0943069,4011,fsgd
5600,0.0938817,4058,fsgd
5200,0.0938608,4061,fsgd
7800,0.0938861,4056,fsgd
8000,0.093842,4058,fsgd
5800,0.0938327,4056,fsgd
7600,0.0936889,4062,fsgd
7900,0.0933717,4147,fsgd
8100,0.0933131,4150,fsgd
5900,0.0932027,4157,fsgd
6000,0.0932687,4150,fsgd
5900,0.0931875,4157,fsgd
5200,0.0932038,4154,fsgd
5700,0.093134,4159,fsgd
5300,0.0931444,4158,fsgd
8000,0.092656,4205,fsgd
6100,0.0926525,4201,fsgd
5300,0.0926155,4207,fsgd
6000,0.0926257,4201,fsgd
8000,0.0926263,4207,fsgd
7700,0.0926009,4206,fsgd
5800,0.0925392,4208,fsgd
6000,0.0925407,4205,fsgd
8100,0.092126,4253,fsgd
5400,0.0921429,4252,fsgd
6100,0.0921165,4254,fsgd
5400,0.092078,4259,fsgd
5900,0.0920746,4260,fsgd
6200,0.0920495,4261,fsgd
6100,0.0920337,4263,fsgd
8100,0.0920947,4255,fsgd
7800,0.0920786,4257,fsgd
8200,0.0915362,4308,fsgd
6000,0.0914973,4312,fsgd
8200,0.0915219,4309,fsgd
6200,0.0915653,4304,fsgd
5500,0.0915233,4306,fsgd
7900,0.0915394,4306,fsgd
8200,0.0915481,4306,fsgd
6300,0.0915757,4304,fsgd
6200,0.0914574,4315,fsgd
8300,0.0910183,4359,fsgd
8300,0.0910161,4359,fsgd
6300,0.0910152,4360,fsgd
6400,0.0910602,4356,fsgd
5500,0.0909861,4361,fsgd
6100,0.0909791,4361,fsgd
8300,0.0910304,4356,fsgd
8000,0.0909068,4369,fsgd
