Iteration,RMSE,Time,method
5500,0.521962,3825,dsgd
8300,0.522198,3816,dsgd
7300,0.520865,3833,dsgd
7200,0.522165,3818,dsgd
8800,0.520648,3833,dsgd
8600,0.520306,3845,dsgd
4900,0.520773,3831,dsgd
5600,0.519686,3860,dsgd
7400,0.520159,3853,dsgd
8400,0.519683,3858,dsgd
7300,0.519008,3870,dsgd
5300,0.520199,3843,dsgd
8400,0.519337,3867,dsgd
7400,0.518803,3870,dsgd
8700,0.518536,3884,dsgd
8900,0.518636,3879,dsgd
5700,0.517448,3897,dsgd
7400,0.516544,3907,dsgd
8500,0.516308,3911,dsgd
5000,0.516878,3896,dsgd
7500,0.516735,3903,dsgd
8500,0.516069,3913,dsgd
9000,0.515589,3926,dsgd
8800,0.515641,3925,dsgd
7500,0.515714,3919,dsgd
5400,0.51597,3911,dsgd
7500,0.514862,3944,dsgd
7600,0.514113,3954,dsgd
8600,0.514476,3949,dsgd
8600,0.513885,3956,dsgd
9100,0.513461,3963,dsgd
5100,0.514081,3952,dsgd
5500,0.512944,3971,dsgd
5800,0.514941,3938,dsgd
7600,0.513128,3969,dsgd
8900,0.513059,3967,dsgd
8700,0.512012,3994,dsgd
9200,0.511292,4002,dsgd
7700,0.51207,3992,dsgd
7600,0.512083,3990,dsgd
7700,0.510351,4008,dsgd
8700,0.511312,4000,dsgd
9000,0.509916,4012,dsgd
5600,0.510233,4007,dsgd
5900,0.509929,4007,dsgd
9300,0.509131,4040,dsgd
8800,0.509175,4040,dsgd
7800,0.508668,4044,dsgd
5200,0.510109,4006,dsgd
7800,0.508732,4042,dsgd
8800,0.508396,4051,dsgd
7700,0.50875,4044,dsgd
9100,0.508235,4055,dsgd
8900,0.506878,4080,dsgd
6000,0.507426,4070,dsgd
5700,0.507635,4057,dsgd
9400,0.506995,4079,dsgd
7900,0.506005,4090,dsgd
8900,0.505946,4091,dsgd
7800,0.505863,4091,dsgd
5300,0.50617,4085,dsgd
9200,0.505391,4097,dsgd
7900,0.506122,4083,dsgd
9000,0.504935,4115,dsgd
8000,0.504137,4125,dsgd
5800,0.504512,4118,dsgd
7900,0.503916,4126,dsgd
9500,0.504484,4119,dsgd
9000,0.50387,4126,dsgd
9300,0.503153,4140,dsgd
5400,0.503214,4128,dsgd
6100,0.504228,4117,dsgd
8000,0.502619,4142,dsgd
8100,0.50202,4160,dsgd
9100,0.502296,4155,dsgd
8000,0.501871,4161,dsgd
9600,0.501781,4164,dsgd
9100,0.501559,4171,dsgd
9400,0.501234,4178,dsgd
6200,0.500805,4181,dsgd
5500,0.500638,4181,dsgd
5900,0.501618,4161,dsgd
8100,0.500251,4192,dsgd
8200,0.500098,4202,dsgd
9200,0.500071,4202,dsgd
9700,0.499738,4214,dsgd
9200,0.499645,4218,dsgd
8100,0.499814,4208,dsgd
9500,0.499507,4219,dsgd
8200,0.498311,4232,dsgd
6300,0.498883,4223,dsgd
6000,0.498057,4232,dsgd
8300,0.497863,4237,dsgd
9300,0.497682,4242,dsgd
5600,0.498082,4229,dsgd
9800,0.497467,4254,dsgd
9300,0.497219,4263,dsgd
9600,0.497047,4264,dsgd
8300,0.496728,4267,dsgd
8200,0.49704,4263,dsgd
6400,0.496276,4271,dsgd
9400,0.495461,4288,dsgd
8400,0.495823,4284,dsgd
9900,0.495011,4293,dsgd
6100,0.495532,4277,dsgd
8400,0.494597,4303,dsgd
9700,0.494562,4303,dsgd
9400,0.494783,4300,dsgd
8300,0.49446,4307,dsgd
5700,0.495069,4292,dsgd
6500,0.493904,4325,dsgd
8500,0.493552,4328,dsgd
9500,0.493651,4326,dsgd
8500,0.493038,4338,dsgd
9800,0.492886,4341,dsgd
9500,0.492824,4345,dsgd
6200,0.493148,4333,dsgd
8600,0.491924,4364,dsgd
5800,0.492238,4353,dsgd
6600,0.492001,4359,dsgd
8600,0.49159,4372,dsgd
8400,0.492086,4354,dsgd
9600,0.491558,4371,dsgd
9900,0.491097,4381,dsgd
9600,0.490858,4389,dsgd
8700,0.489787,4407,dsgd
8700,0.490248,4399,dsgd
6300,0.490324,4397,dsgd
6700,0.48989,4405,dsgd
9700,0.489527,4411,dsgd
8500,0.48954,4410,dsgd
5900,0.48963,4401,dsgd
9700,0.488924,4429,dsgd
8800,0.488563,4443,dsgd
8800,0.488452,4444,dsgd
9800,0.488077,4448,dsgd
8600,0.487784,4453,dsgd
6000,0.487417,4457,dsgd
6800,0.487924,4447,dsgd
6400,0.487892,4446,dsgd
9800,0.487097,4469,dsgd
8900,0.486787,4479,dsgd
8900,0.486702,4491,dsgd
8700,0.486261,4495,dsgd
9900,0.486468,4493,dsgd
9000,0.485162,4519,dsgd
9900,0.485325,4514,dsgd
6100,0.485753,4507,dsgd
9000,0.484955,4530,dsgd
6900,0.485594,4508,dsgd
6500,0.485274,4513,dsgd
8800,0.484663,4541,dsgd
9100,0.483954,4555,dsgd
9100,0.483075,4573,dsgd
8900,0.482876,4577,dsgd
7000,0.483075,4574,dsgd
6200,0.483474,4561,dsgd
6600,0.48258,4576,dsgd
9200,0.482311,4594,dsgd
9200,0.482202,4609,dsgd
9000,0.48213,4612,dsgd
7100,0.481769,4615,dsgd
6300,0.481308,4622,dsgd
9300,0.480926,4642,dsgd
9300,0.481006,4637,dsgd
9100,0.480693,4645,dsgd
6700,0.480946,4628,dsgd
9400,0.480136,4675,dsgd
